REC-TYPE,VENDOR SKU NO,HOST SKU NO,UPC,ON HAND QTY,ON HAND DATE,BACKORDER QTY,BACKORDER DATE,EXPECTED QTY,EXPECTED DATE
IR,ALG-711_41,,693016488452,0,,,,,
IR,ALG-711_42,,693016488469,0,,,,,
IR,ALG-711_43,,693016488476,0,,,,,
IR,ALG-715_35,,693016256068,0,,,,,
IR,ALG-715_36,,693016256075,0,,,,,
IR,ALG-715_37,,693016256082,0,,,,,
IR,ALG-715_38,,693016256099,0,,,,,
IR,ALG-715_39,,693016256105,0,,,,,
IR,ALG-715_40,,693016256112,0,,,,,
IR,ALG-715_41,,693016256129,0,,,,,
IR,ALG-715_42,,693016256136,0,,,,,
IR,ALG-719_34,,693016569809,0,,,,,
IR,ALG-719_35,,693016569816,6,,,,,
IR,ALG-719_36,,693016569823,0,,,,,
IR,ALG-719_37,,693016569830,38,,,,,
IR,ALG-719_38,,693016569847,45,,,,,
IR,ALG-719_39,,693016569854,46,,,,,
IR,ALG-719_40,,693016569861,65,,,,,
IR,ALG-719_41,,693016569878,22,,,,,
IR,ALG-719_42,,693016569885,0,,,,,
IR,ALG-719_43,,693016569892,0,,,,,
IR,ALG-759_34,,693016569601,0,,,,,
IR,ALG-759_35,,693016569618,0,,,,,
IR,ALG-759_36,,693016569625,0,,,,,
IR,ALG-759_37,,693016569632,0,,,,,
IR,ALG-759_38,,693016569649,0,,,,,
IR,ALG-759_39,,693016569656,0,,,,,
IR,ALG-759_40,,693016569663,0,,,,,
IR,ALG-759_41,,693016569670,0,,,,,
IR,ALG-759_42,,693016569687,0,,,,,
IR,ALG-759_43,,693016569694,0,,,,,
IR,ALG-914_34,,693016533589,0,,,,,
IR,ALG-914_35,,693016533596,0,,,,,
IR,ALG-914_36,,693016533602,0,,,,,
IR,ALG-914_37,,693016533619,0,,,,,
IR,ALG-914_38,,693016533626,0,,,,,
IR,ALG-914_39,,693016533633,0,,,,,
IR,ALG-914_40,,693016533640,0,,,,,
IR,ALG-914_41,,693016533657,0,,,,,
IR,ALG-914_42,,693016533664,0,,,,,
IR,ALG-914_43,,693016533671,0,,,,,
IR,ALG-919_35,,693016287796,0,,,,,
IR,ALG-919_36,,693016287802,0,,,,,
IR,ALG-919_37,,693016287819,0,,,,,
IR,ALG-919_38,,693016287826,0,,,,,
IR,ALG-919_39,,693016287833,0,,,,,
IR,ALG-919_40,,693016287840,0,,,,,
IR,ALG-919_41,,693016287857,0,,,,,
IR,ALG-919_42,,693016287864,0,,,,,
IR,ALG-998_34,,693016543984,0,,,,,
IR,ALG-998_35,,693016543991,30,,,,,
IR,ALG-998_36,,693016544004,77,,,,,
IR,ALG-998_37,,693016544011,177,,,,,
IR,ALG-998_38,,693016544028,295,,,,,
IR,ALG-998_39,,693016544035,307,,,,,
IR,ALG-998_40,,693016544042,244,,,,,
IR,ALG-998_41,,693016544059,201,,,,,
