itemNo,color,size,upc,inStock,wholesalePrice,retailPrice,eta
ALG-919,Classic Sophistisnake Multi,38,693016287826,0,34.50,69.95,
ALG-919,Classic Sophistisnake Multi,39,693016287833,0,34.50,69.95,
ALG-919,Classic Sophistisnake Multi,40,693016287840,0,34.50,69.95,
ALG-919,Classic Sophistisnake Multi,41,693016287857,0,34.50,69.95,
ALG-919,Classic Sophistisnake Multi,42,693016287864,0,34.50,69.95,
ALG-998,Wedge Footbed - Medium,34,693016543984,0,9.50,24.95,
ALG-998,Wedge Footbed - Medium,35,693016543991,30,9.50,24.95,
ALG-998,Wedge Footbed - Medium,36,693016544004,77,9.50,24.95,
ALG-998,Wedge Footbed - Medium,37,693016544011,177,9.50,24.95,
ALG-998,Wedge Footbed - Medium,38,693016544028,295,9.50,24.95,
ALG-998,Wedge Footbed - Medium,39,693016544035,307,9.50,24.95,
ALG-998,Wedge Footbed - Medium,40,693016544042,244,9.50,24.95,
ALG-998,Wedge Footbed - Medium,41,693016544059,201,9.50,24.95,
ALG-998,Wedge Footbed - Medium,42,693016544066,157,9.50,24.95,
ALG-998,Wedge Footbed - Medium,43,693016544073,0,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,34,693016581566,0,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,35,693016581573,30,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,36,693016581580,69,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,37,693016581597,214,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,38,693016581603,317,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,39,693016581610,406,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,40,693016581627,335,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,41,693016581634,282,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,42,693016581641,167,9.50,24.95,
ALG-998G,Wedge Footbed In Grey - Medium,43,693016581658,0,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,34,693016584673,0,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,35,693016584680,0,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,36,693016584697,88,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,37,693016584703,161,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,38,693016584710,305,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,39,693016584727,343,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,40,693016584734,247,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,41,693016584741,167,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,42,693016584758,31,9.50,24.95,
ALG-998GW,Wedge Grey Footbed - Wide,43,693016584765,0,9.50,24.95,
ALG-998W,Wedge Footbed - Wide,35,693016502349,0,9.50,24.95,Jul 20 2017
ALG-998W,Wedge Footbed - Wide,36,693016502356,39,9.50,24.95,Jul 20 2017
ALG-998W,Wedge Footbed - Wide,37,693016502363,65,9.50,24.95,Jul 20 2017
ALG-998W,Wedge Footbed - Wide,38,693016502370,104,9.50,24.95,Jul 20 2017
