CATALOG,SELECTION CODE,SELECTION CODE DESCRIPTION,PRODUCT ID,PRODUCT [ID] DESCRIPTION,UPC,VENDOR PART NUMBER,VENDOR PART DESCRIPTION,NRF COLOR CODE,PRODUCT COLOR DESCRIPTION,NRF SIZE CODE,PRODUCT SIZE DESCRIPTION,PRODUCT FABRIC DESCRIPTION,AVAILABLE DATE,DISCONTINUE DATE,MINIMIUM ORDER QTY,MAXIMUM ORDER QTY,REORDERABLE PRODUCT,SEASONAL AVAILABILITY,COUNTRY OF ORIGIN,INNER PACK QTY,OUTER PACK QTY,ORDER LEAD TIME,ORDER LEAD TIME CODE,ITEM EXTENDED DESCRIPTION,IMAGE URL,PRICE QUALIFIER 1,PRICE AMOUNT 1
CATALOG,ALG,Alegria Shoes,ALG-231_35,Classic Pro Jazzy Black,693016532698,,,,Classic Pro Jazzy Black,52145,35,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_36,Classic Pro Jazzy Black,693016532704,,,,Classic Pro Jazzy Black,52146,36,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_37,Classic Pro Jazzy Black,693016532711,,,,Classic Pro Jazzy Black,52147,37,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_38,Classic Pro Jazzy Black,693016532728,,,,Classic Pro Jazzy Black,52148,38,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_39,Classic Pro Jazzy Black,693016532735,,,,Classic Pro Jazzy Black,52149,39,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_40,Classic Pro Jazzy Black,693016532742,,,,Classic Pro Jazzy Black,52150,40,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_41,Classic Pro Jazzy Black,693016532759,,,,Classic Pro Jazzy Black,52151,41,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_42,Classic Pro Jazzy Black,693016532766,,,,Classic Pro Jazzy Black,52152,42,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-231_43,Classic Pro Jazzy Black,693016532773,,,,Classic Pro Jazzy Black,52153,43,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_34,Classic Pro Jazzy Wine,693016532780,,,,Classic Pro Jazzy Wine,52144,34,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_35,Classic Pro Jazzy Wine,693016532797,,,,Classic Pro Jazzy Wine,52145,35,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_36,Classic Pro Jazzy Wine,693016532803,,,,Classic Pro Jazzy Wine,52146,36,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_37,Classic Pro Jazzy Wine,693016532810,,,,Classic Pro Jazzy Wine,52147,37,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_38,Classic Pro Jazzy Wine,693016532827,,,,Classic Pro Jazzy Wine,52148,38,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_39,Classic Pro Jazzy Wine,693016532834,,,,Classic Pro Jazzy Wine,52149,39,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_40,Classic Pro Jazzy Wine,693016532841,,,,Classic Pro Jazzy Wine,52150,40,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_41,Classic Pro Jazzy Wine,693016532858,,,,Classic Pro Jazzy Wine,52151,41,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_42,Classic Pro Jazzy Wine,693016532865,,,,Classic Pro Jazzy Wine,52152,42,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-232_43,Classic Pro Jazzy Wine,693016532872,,,,Classic Pro Jazzy Wine,52153,43,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_34,Classic Pro Jazzy Blue,693016532889,,,,Classic Pro Jazzy Blue,52144,34,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_35,Classic Pro Jazzy Blue,693016532896,,,,Classic Pro Jazzy Blue,52145,35,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_36,Classic Pro Jazzy Blue,693016532902,,,,Classic Pro Jazzy Blue,52146,36,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_37,Classic Pro Jazzy Blue,693016532919,,,,Classic Pro Jazzy Blue,52147,37,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_38,Classic Pro Jazzy Blue,693016532926,,,,Classic Pro Jazzy Blue,52148,38,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_39,Classic Pro Jazzy Blue,693016532933,,,,Classic Pro Jazzy Blue,52149,39,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_40,Classic Pro Jazzy Blue,693016532940,,,,Classic Pro Jazzy Blue,52150,40,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_41,Classic Pro Jazzy Blue,693016532957,,,,Classic Pro Jazzy Blue,52151,41,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_42,Classic Pro Jazzy Blue,693016532964,,,,Classic Pro Jazzy Blue,52152,42,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-233_43,Classic Pro Jazzy Blue,693016532971,,,,Classic Pro Jazzy Blue,52153,43,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-312_35,Classic Peace & Love Brown,693016218417,,,,Classic Peace & Love Brown,52145,35,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-312_36,Classic Peace & Love Brown,693016218424,,,,Classic Peace & Love Brown,52146,36,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-312_37,Classic Peace & Love Brown,693016218431,,,,Classic Peace & Love Brown,52147,37,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-312_38,Classic Peace & Love Brown,693016218448,,,,Classic Peace & Love Brown,52148,38,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-312_39,Classic Peace & Love Brown,693016218455,,,,Classic Peace & Love Brown,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-312_40,Classic Peace & Love Brown,693016218462,,,,Classic Peace & Love Brown,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-312_41,Classic Peace & Love Brown,693016218479,,,,Classic Peace & Love Brown,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-312_42,Classic Peace & Love Brown,693016218486,,,,Classic Peace & Love Brown,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_35,Classic Butterflies,693016218493,,,,Classic Butterflies,52145,35,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_36,Classic Butterflies,693016218509,,,,Classic Butterflies,52146,36,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_37,Classic Butterflies,693016218516,,,,Classic Butterflies,52147,37,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_38,Classic Butterflies,693016218523,,,,Classic Butterflies,52148,38,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_39,Classic Butterflies,693016218530,,,,Classic Butterflies,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_40,Classic Butterflies,693016218547,,,,Classic Butterflies,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_41,Classic Butterflies,693016218554,,,,Classic Butterflies,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-316_42,Classic Butterflies,693016218561,,,,Classic Butterflies,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_35,Classic Eden,693016218578,,,,Classic Eden,52145,35,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_36,Classic Eden,693016218585,,,,Classic Eden,52146,36,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_37,Classic Eden,693016218592,,,,Classic Eden,52147,37,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_38,Classic Eden,693016218608,,,,Classic Eden,52148,38,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_39,Classic Eden,693016218615,,,,Classic Eden,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_40,Classic Eden,693016218622,,,,Classic Eden,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_41,Classic Eden,693016218639,,,,Classic Eden,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-317_42,Classic Eden,693016218646,,,,Classic Eden,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-320_35,Classic Frida Patent,693016252381,,,,Classic Frida Patent,52145,35,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-320_36,Classic Frida Patent,693016252398,,,,Classic Frida Patent,52146,36,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-320_37,Classic Frida Patent,693016252404,,,,Classic Frida Patent,52147,37,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-320_38,Classic Frida Patent,693016252411,,,,Classic Frida Patent,52148,38,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-320_39,Classic Frida Patent,693016252428,,,,Classic Frida Patent,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-320_40,Classic Frida Patent,693016252435,,,,Classic Frida Patent,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-320_41,Classic Frida Patent,693016252442,,,,Classic Frida Patent,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-320_42,Classic Frida Patent,693016252459,,,,Classic Frida Patent,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,29.50
CATALOG,ALG,Alegria Shoes,ALG-323_35,Classic Midnight Garden,693016255740,,,,Classic Midnight Garden,52145,35,Leather,,,1,,Y,,China,,,,,,,69.00,34.50
